source_row_index,evaluation,raw_geometry_identity_sha256,production_geometry_fingerprint_sha256,gds_sha256,lp_nh,ls_nh,qp,qs,qmin,k_abs,signed_k,conditional_strict,core_range,q10_to20,necessary_grid_edges_pass,current_qualification,reuse_class
97643,000076__shard_001__2fe5733f1fb46899,d1e51aad32ccf927426572b61da0a833da798ef827267a986f632f433d2b7de1,12cdabaa42edec7ab12a2e73699e9f40e85e87172f8faa00509a69ad4b5ed96b,982d67c34f1da5311fdc3db6c0783001ff47cb8e69ef6a03202587af83fbff03,1.134766348604236,1.0456950396878764,17.99964383114076,17.63677026968801,17.63677026968801,0.20445994339675883,0.20445994339675883,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97644,000077__shard_001__32aade9768b03497,320cffd0c3d11eb00879de9d6f1a40795cb707ea60253d07a354d22fc7b5c2e2,cfa91a294704391b3a432e7c47fe456276fba31296647a53efe0a9d4bea46ade,a6cb4ccb5740a0a668e91a11d57b570f9b7e359bcfbda4bc5688360abe39c555,1.1243504519372987,1.028429977686429,18.20956283880377,17.859846782332802,17.859846782332802,0.2077485009357959,0.2077485009357959,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97645,000078__shard_001__3e98b35bd54a8d13,a1de33d7f8da71ad007aac8a47bdfad9cde1db584ec6aac91f44a72555126255,8608ea6d3018f91b53ccef50ec1e4e67d2a26f409171fe2c681bae128dd69871,b05c7953e0f079201c5eb94153aa72c448e37f870ad3cee5f349cc216f2dbbbe,1.107218848193485,1.0398034088381825,18.182074149123817,17.786867301791624,17.786867301791624,0.20385212514048118,0.20385212514048118,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97646,000079__shard_001__40220602fd9bcc95,e80d0fea84fc86495401ec7b86af09b011b17262ef66a88a31d4d2159a23b6be,2729abf86d8065fad3e25781b839c79f4837f5937c887135ffc6a70acb133e96,6282c87b2cc0b3853ae06b73b5773d07999fd4ad5f6bea0fa8aa1321650f71d0,1.1309129352854594,1.0243283487285515,18.070469151576724,17.89359703807923,17.89359703807923,0.2042236104851202,0.2042236104851202,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97647,000080__shard_001__493b0d2867295125,335559ae90eef9c1572e7cd3b91eddba378c94956f2b64d1fdff2bcf1a378f3f,6263e1ce69b1de56a8e6d430cd8089d887ea622fe2376ee71bb0be6cf5bb550c,2867bfaa154403f5920828fd74f097f8fab39f9a10e9bd4f2f7496654933dba8,1.101214892515653,1.0274264682975702,18.28179515795154,17.854338436618846,17.854338436618846,0.20495706485303575,0.20495706485303575,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97648,000081__shard_001__527c2b6b2c426182,857e5bcbfff2a2c86776acafdd2e98af9e87c1216befd2ec9e6a871b1dbc748a,f70f4c057186ba4e5d0abb94b570dc66c0eda446da521b35fb0260067f55803e,7df853a690e5f094c8e071c403aedd7b396b829c3aa958f541aab5b46c1fad53,1.1321326472352367,1.0389948840465897,18.08069816437279,17.864279303329884,17.864279303329884,0.20082513121633505,0.20082513121633505,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97649,000082__shard_001__53e2edbf71f64ada,b664e968cb4204f203383ae73dbf3889c71700111b6cc5f5975711d609687409,dc0de99c2c3beb43252cab09eb39ed6b2f71c210f9e8d28248fe6acf56933350,8742fdbd1f9658c947cf45824b70f21994ef27da6103f56040a38e0d6e9d043d,1.126589612887815,1.0324856099254653,18.145649336726574,17.881617054727613,17.881617054727613,0.20034068997969695,0.20034068997969695,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97650,000083__shard_001__5ab9a438f342f18a,3d361609cee984632eea4737b7b8bb138a684aed93e5d04e4941d15cc6ff02e1,8f750b3458c5cced7910e157d4778c73c016da3c23aafe631f3815de7be846ba,2737373e48f657a07c1f7ab921f638f3eeced63ebf2c9a11130e43075ba6e2af,1.1420462734261967,1.0484446276741692,17.979723123732256,17.682014839293643,17.682014839293643,0.20260139058996782,0.20260139058996782,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97651,000084__shard_001__5c269f355ee2768e,10ee90b99a390056a75feb0429e615126c420bb39dc653a5c55fc01f1437ea59,0e6ee13bf9676e7aa80137931ea46a018bbb54c9cda0b936334d8a9caf2877cc,7a7012ad57003cf2addc9efe157a813c79cb18626b243b7cd6195f61b5f9bc48,1.1192296733507825,1.0106790993498516,18.21460877990555,18.02041332675538,18.02041332675538,0.20428412462197676,0.20428412462197676,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97652,000085__shard_001__5eb3a38ed7b8e794,b696e9879a1e2e7fab735beb173f68fac28b157eb94bc3f3c9c1980a643ff412,c66cecc22661d5abdf143f28f8f6a1841195d5bfe8c30317622fdbce7377ea52,46547ac012e86cd4a489c3d68adbbbcfe815938e082352f5a66d55b69ad923b3,1.1440902602380905,1.013052054322613,17.95832436966006,18.221265702633268,17.95832436966006,0.2035021887294601,0.2035021887294601,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97653,000086__shard_001__6036d4285e6c76cb,b75c8811bc83f5ce21bcc6687e8c5946a08b3c34411c1fc2d7ec21252ef379a9,2ddf4bc0bc484c8673eef10f811a7f7f0130b5efcaf0edf3d935b8880ebd9a6b,af7b524eb98719b493163f4b150057eeba23e2866e5b0f93b0c842118b881550,1.1156122850967136,1.0362832364335368,18.16848491615879,17.833403819968517,17.833403819968517,0.20531510990780522,0.20531510990780522,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97654,000087__shard_001__6cf052ea05a93a43,f33ad5b053241dcca8c0e9b95adbc60763d09d37d997f051c94f75df93ad8abc,c01deadc857200142716d1c45c9bee4b1a593b73781f18b648c3f697d25b2ade,4b056f5f4335f3169104a24ff1c39ebd500f0924491f8ceb7bff87a2eb74ba31,1.1453742999826177,1.0195034385709587,17.934452999916015,18.11404777360182,17.934452999916015,0.2039281602291446,0.2039281602291446,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97655,000088__shard_001__6d235911117d8580,294f8c6a2edcc452bb1a29c8d1848807a40a5983d5f067f70e5f8ccdde778c51,83808482311799f31a3a25b60d1928284fac2269c22fd45c629c43062a27ff25,7b2e5515eccec4b77f18b653f226b02e08345c92027121e65cf9c3e34b88cb37,1.1000554520875767,1.02655105692221,18.337059373446074,17.961192206738286,17.961192206738286,0.2009818166410384,0.2009818166410384,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97656,000089__shard_001__6ff77d21846aadb5,6dac2c01059825f19f2f018f45657e5475991366b3f01881aae1455500a7898a,52161baf436c7f263061774eadf0b70b5511890544733b1fe79ea145a50235da,c0ba96c924f56d6370b3aa9014f730b752f77fabcb460c3fbc09985d17d2d785,1.1348306542104347,1.0255971019279324,17.87388121005459,18.004866654034362,17.87388121005459,0.19712787490094844,0.19712787490094844,true,false,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97657,000090__shard_001__7187ae0e60dafd43,f6bbec723e1b17e3de6ff889ca6d05ab5c28fc486c3ecc944a677a8c31b9c62e,714b8958349ed10c20034c58713845cd4f399e159515c236f02fb475c1325705,e9e26b66d03ac5db7cc4ec1c0190818a6159f41995b2288134076692d9f42035,1.1342539007938808,1.0291528212581307,17.976232412849427,17.924122457454626,17.924122457454626,0.20052970513577228,0.20052970513577228,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97658,000091__shard_001__74ea6cbc06815221,de6123a94e3f46be36681f577bb9f7e623d7e0994f0be33f34843c0623c6217b,e67a50857ce32021203d91a4de2e5242ebf0fed9aebbde37d693efa73a5d5e31,9500d1cc319d00229f88523839ff30c7dd5f60b6fc978b33ef8d23797526acd5,1.1625270265456065,1.0179175018964735,17.79416621188007,18.072235724140672,17.79416621188007,0.20304229902959076,0.20304229902959076,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97659,000092__shard_001__7649c8cb13850369,b5dc4a5a3c60d00bccb9615b85df113a96a505bc9369ec5f1125ac21fb6ac0ad,ac9d7af167b4671b6b6641df2de727af7d293878028f88903ec00915ed2758f6,daa28df563de966ed0de56cac229f46314fa21c65736ec27389d354723f5e701,1.1279978160335549,1.047326778795477,18.0847299351581,17.72886685519372,17.72886685519372,0.20428614082418978,0.20428614082418978,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97660,000093__shard_001__786f0d302a75e587,c3115bf68f12c8b0c6dfbb521b11a0fde2100d9dfa3a0d3cccacf347cf450195,1f44a6b55cd408ec4df585a479e613060f18903940ee812cf11906cff29ca4ea,6303ba8d445a305d6bce514006438ead848964c8ac6cef1a2d18bae65d8b1e6c,1.1228538866242894,1.0179074732187083,18.07579375723968,18.006596955972093,18.006596955972093,0.20137334047167713,0.20137334047167713,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97661,000094__shard_001__8518e3816a6fd7cb,a47e6091807fbe2f27a99f1969a130ae698c9e24edd14bc25ac55320762e09c8,096aace4f075042ea9b88742b56bf36189db52dff2db6e24843d10da7604c319,3479c1907b4c44d0325dc7d3b7529a236b9144db2484940bc08ccfd917759bc0,1.1305304649055166,1.0250438750141808,18.142124322060543,18.117144299125258,18.117144299125258,0.1986443579441821,0.1986443579441821,true,false,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
