grid_n,split,frequency_hz,lp_bin,ls_bin,k_bin,empty_all_q,unobserved_is_not_proven_unreachable,lp_low_nh,lp_high_nh,ls_low_nh,ls_high_nh,k_low,k_high,N_strict_core_all_q,N_strict_core_q10_20,N_q_below10,N_q10_12,N_q12_14,N_q14_16,N_q16_18,N_q18_20,N_q_above20
8,train,15000000000,2,4,3,True,True,0.875,1.0625,1.25,1.4375,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,4,4,True,True,0.875,1.0625,1.25,1.4375,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,4,5,True,True,0.875,1.0625,1.25,1.4375,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,4,6,True,True,0.875,1.0625,1.25,1.4375,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,4,7,True,True,0.875,1.0625,1.25,1.4375,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,5,0,False,True,0.875,1.0625,1.4375,1.625,0.2,0.28125,48,48,0,23,24,1,0,0,0
8,train,15000000000,2,5,1,False,True,0.875,1.0625,1.4375,1.625,0.28125,0.3625,3,3,0,1,2,0,0,0,0
8,train,15000000000,2,5,2,False,True,0.875,1.0625,1.4375,1.625,0.3625,0.44375,1,1,0,0,1,0,0,0,0
8,train,15000000000,2,5,3,True,True,0.875,1.0625,1.4375,1.625,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,5,4,True,True,0.875,1.0625,1.4375,1.625,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,5,5,True,True,0.875,1.0625,1.4375,1.625,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,5,6,True,True,0.875,1.0625,1.4375,1.625,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,5,7,True,True,0.875,1.0625,1.4375,1.625,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,6,0,False,True,0.875,1.0625,1.625,1.8125,0.2,0.28125,15,13,2,12,1,0,0,0,0
8,train,15000000000,2,6,1,True,True,0.875,1.0625,1.625,1.8125,0.28125,0.3625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,6,2,True,True,0.875,1.0625,1.625,1.8125,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,6,3,True,True,0.875,1.0625,1.625,1.8125,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,6,4,True,True,0.875,1.0625,1.625,1.8125,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,6,5,True,True,0.875,1.0625,1.625,1.8125,0.60625,0.6875,0,0,0,0,0,0,0,0,0
